Order	PDB_Chain	Type	Length	Similarity	Source
302	1D1P_1|Chains	alpha	160	0.0000	selection/huge_pdb_alpha_selection_info.tsv
303	1DYO_1|Chains	alpha	160	0.0000	selection/huge_pdb_alpha_selection_info.tsv
304	1E88_1|Chain	alpha	160	0.0000	selection/huge_pdb_alpha_selection_info.tsv
305	1F3Z_1|Chain	alpha	161	0.0000	selection/huge_pdb_alpha_selection_info.tsv
306	1AEP_1|Chain	alpha	161	0.2423	selection/filtered_alpha_selection_info.tsv
307	1CPC_1|Chains	alpha	162	0.0000	selection/huge_pdb_alpha_selection_info.tsv
308	1B8E_1|Chain	alpha	162	0.2470	selection/filtered_alpha_selection_info.tsv
309	1TOP_1|Chain	alpha	162	0.2520	selection/filtered_alpha_selection_info.tsv
310	1BEB_1|Chains	alpha	162	0.9877	selection/enhanced_alpha_selection_info.tsv
311	1PIN_1|Chain	alpha	163	0.2140	selection/filtered_alpha_selection_info.tsv
312	1CUP_1|Chain	alpha	164	0.0000	selection/huge_pdb_alpha_selection_info.tsv
313	1EZT_1|Chain	alpha	166	0.0000	selection/huge_pdb_alpha_selection_info.tsv
314	1BIU_1|Chains	alpha	166	0.2342	selection/filtered_alpha_selection_info.tsv
315	1BLX_2|Chain	alpha	166	0.2659	selection/filtered_alpha_selection_info.tsv
316	1BIS_1|Chains	alpha	166	0.9529	selection/enhanced_alpha_selection_info.tsv
317	1BIZ_1|Chains	alpha	166	0.9645	selection/enhanced_alpha_selection_info.tsv
318	1D01_1|Chains	alpha	168	0.0000	selection/huge_pdb_alpha_selection_info.tsv
319	1CZU_1|Chain	alpha	169	0.0000	selection/huge_pdb_alpha_selection_info.tsv
320	1B55_1|Chains	alpha	169	0.1848	selection/filtered_alpha_selection_info.tsv
321	1D2S_1|Chain	alpha	170	0.0000	selection/huge_pdb_alpha_selection_info.tsv
322	1CQR_1|Chains	alpha	173	0.0000	selection/huge_pdb_alpha_selection_info.tsv
323	1E3B_1|Chain	alpha	173	0.0000	selection/huge_pdb_alpha_selection_info.tsv
324	1EGM_3|Chains	alpha	173	0.0000	selection/huge_pdb_alpha_selection_info.tsv
325	1BIW_1|Chains	alpha	173	0.2364	selection/filtered_alpha_selection_info.tsv
326	1CV8_1|Chain	alpha	174	0.0000	selection/huge_pdb_alpha_selection_info.tsv
327	1E1H_2|Chains	alpha	174	0.0000	selection/huge_pdb_alpha_selection_info.tsv
328	1AMM_1|Chain	alpha	174	0.2099	selection/filtered_alpha_selection_info.tsv
329	1BGC_1|Chain	alpha	174	0.2373	selection/filtered_alpha_selection_info.tsv
330	1E94_1|Chains	alpha	175	0.0000	selection/huge_pdb_alpha_selection_info.tsv
331	1CID_1|Chain	alpha	177	0.0000	selection/huge_pdb_alpha_selection_info.tsv
332	1AVW_2|Chain	alpha	177	0.2386	selection/filtered_alpha_selection_info.tsv
333	1CDH_1|Chain	alpha	178	0.0000	selection/huge_pdb_alpha_selection_info.tsv
334	1BNL_1|Chains	alpha	178	0.2255	selection/filtered_alpha_selection_info.tsv
335	1EJ0_1|Chain	alpha	180	0.0000	selection/huge_pdb_alpha_selection_info.tsv
336	1D5M_1|Chain	alpha	181	0.0000	selection/huge_pdb_alpha_selection_info.tsv
337	1B87_1|Chain	alpha	181	0.2267	selection/filtered_alpha_selection_info.tsv
338	1DZR_1|Chains	alpha	183	0.0000	selection/huge_pdb_alpha_selection_info.tsv
339	1AQB_1|Chain	alpha	183	0.2143	selection/filtered_alpha_selection_info.tsv
340	1CZ4_1|Chain	alpha	185	0.0000	selection/huge_pdb_alpha_selection_info.tsv
341	1EP0_1|Chain	alpha	185	0.0000	selection/huge_pdb_alpha_selection_info.tsv
342	1GBS_1|Chain	alpha	185	0.2419	selection/filtered_alpha_selection_info.tsv
343	1EX7_1|Chain	alpha	186	0.0000	selection/huge_pdb_alpha_selection_info.tsv
344	1DK0_1|Chains	alpha	188	0.0000	selection/huge_pdb_alpha_selection_info.tsv
345	1CR5_1|Chains	alpha	189	0.0000	selection/huge_pdb_alpha_selection_info.tsv
346	1DR1_1|Chain	alpha	189	0.0000	selection/huge_pdb_alpha_selection_info.tsv
347	1ATZ_1|Chains	alpha	189	0.2387	selection/filtered_alpha_selection_info.tsv
348	1BK7_1|Chain	alpha	190	0.2246	selection/filtered_alpha_selection_info.tsv
349	1DG6_1|Chain	alpha	191	0.0000	selection/huge_pdb_alpha_selection_info.tsv
350	1B68_1|Chain	alpha	191	0.2203	selection/filtered_alpha_selection_info.tsv
351	1E96_1|Chain	alpha	192	0.0000	selection/huge_pdb_alpha_selection_info.tsv
352	1BJF_1|Chains	alpha	193	0.2367	selection/filtered_alpha_selection_info.tsv
353	1DI6_1|Chain	alpha	195	0.0000	selection/huge_pdb_alpha_selection_info.tsv
354	1DNL_1|Chain	alpha	199	0.0000	selection/huge_pdb_alpha_selection_info.tsv
355	1BSM_1|Chains	alpha	201	0.2306	selection/filtered_alpha_selection_info.tsv
356	1AV1_1|Chains	alpha	201	0.2645	selection/filtered_alpha_selection_info.tsv
357	1AGR_2|Chains	alpha	205	0.2253	selection/filtered_alpha_selection_info.tsv
358	1BS9_1|Chain	alpha	207	0.2451	selection/filtered_alpha_selection_info.tsv
359	1AN8_1|Chain	alpha	208	0.2310	selection/filtered_alpha_selection_info.tsv
360	1AP8_1|Chain	alpha	213	0.2404	selection/filtered_alpha_selection_info.tsv
361	1AUO_1|Chains	alpha	218	0.2397	selection/filtered_alpha_selection_info.tsv
362	1BMC_1|Chain	alpha	221	0.2435	selection/filtered_alpha_selection_info.tsv
363	1BYI_1|Chain	alpha	224	0.2486	selection/filtered_alpha_selection_info.tsv
364	1ATG_1|Chain	alpha	231	0.2379	selection/filtered_alpha_selection_info.tsv
365	1BIT_1|Chain	alpha	237	0.2883	selection/filtered_alpha_selection_info.tsv
366	1B5E_1|Chains	alpha	246	0.2273	selection/filtered_alpha_selection_info.tsv
367	1B16_1|Chains	alpha	254	0.2467	selection/enhanced_alpha_selection_info.tsv
368	1B9B_1|Chains	alpha	255	0.2448	selection/enhanced_alpha_selection_info.tsv
369	1BLC_1|Chain	alpha	257	0.2683	selection/enhanced_alpha_selection_info.tsv
370	1ATN_2|Chain	alpha	260	0.2232	selection/enhanced_alpha_selection_info.tsv
371	1BTL_1|Chain	alpha	263	0.2434	selection/enhanced_alpha_selection_info.tsv
372	1BID_1|Chain	alpha	265	0.2261	selection/enhanced_alpha_selection_info.tsv
373	1ARB_1|Chain	alpha	268	0.2038	selection/enhanced_alpha_selection_info.tsv
374	1BR6_1|Chain	alpha	268	0.2395	selection/enhanced_alpha_selection_info.tsv
375	1BC5_1|Chain	alpha	269	0.9818	selection/enhanced_alpha_selection_info.tsv
376	1BMF_3|Chain	alpha	272	0.2201	selection/enhanced_alpha_selection_info.tsv
377	1AF7_1|Chain	alpha	274	0.2269	selection/enhanced_alpha_selection_info.tsv
378	1EYE_1|Chain	alpha	280	0.2315	selection/enhanced_alpha_selection_info.tsv
379	1AIG_1|Chains	alpha	281	0.2256	selection/enhanced_alpha_selection_info.tsv
380	1B8O_1|Chain	alpha	284	0.2197	selection/enhanced_alpha_selection_info.tsv
381	1BIX_1|Chain	alpha	287	0.2442	selection/enhanced_alpha_selection_info.tsv
382	1RGS_1|Chain	alpha	288	0.2408	selection/enhanced_alpha_selection_info.tsv
383	1BF6_1|Chains	alpha	291	0.2313	selection/enhanced_alpha_selection_info.tsv
384	1AMP_1|Chain	alpha	291	0.2373	selection/enhanced_alpha_selection_info.tsv
385	1DSG_1|Chain	alpha	292	0.2341	selection/enhanced_alpha_selection_info.tsv
386	1BN6_1|Chain	alpha	294	0.2380	selection/enhanced_alpha_selection_info.tsv
387	1B39_1|Chain	alpha	299	0.0334	selection/enhanced_alpha_selection_info.tsv
